INPUT,English,Portuguese
MSG_BILLINGENTITY_REQ,Billing Entity is required,é necessário a entidade de cobrança.
MSG_CUSTOMER_REQ,Customer is required,cliente é necessário.
MSG_CUSTLEGAL_REQ,Customer legal name is required,o nome legal do cliente é obrigatório.
MSG_SUPP_REQ,Supplier is required,fornecedor é necessário
MSG_SUPPLEGAL_REQ,Supplier legal name is required,o nome legal do fornecedor é obrigatório.
MSG_FACT_REQ,Factory is required,a fábrica é necessária.
MSG_FACTLEAGL_REQ,Factory legal name is required,o nome legal da fábrica é obrigatório.
MSG_OFFICE_REQ,Office is required,é necessário o office.
MSG_INSPFEES_REQ,Inspection Fees is required,é necessário taxas de inspeção.
MSG_ESTMANDAY_REQ,Estimated Manday is required,estimativa de dias/horas necessários.
MSG_CURRENCY_REQ,Currency is required,moeda é necessária.
LBL_APPROVE,Approve,aprovar
LBL_REJECT,Reject,rejeitar
LBL_VALIDATE,Validate,validar
LBL_NOCONFIRM,Not Confirm,não confirmado.
LBL_CANCEL,Cancel,cancelar
MSG_NOACCESS,You have not access to add quotations,você não tem acesso para adicionar citações.
MSG_CONTACTLIST_REQ,Internal contact list is required,lista de contatos interna é necessária.
MSG_CONTCATLISTISEMPTY,Contact list is empty,a lista de contatos está vazia.
LBL_ISTOFORWARD,Forward to manager,encaminhar para o gerente.
LBL_SKIP_CLIENT_CONFIRMATION,Skip Client Confirmation,pular confirmação do cliente
LBL_PREVIEW,Preview,pré-visualização.
LBL_CONFIRMSTATUSTITLE,Are you sure ?,você tem certeza?
MSG_CONFRMSTATUS,You are about to ,você está prestes a.
MSG_SELECTBOOKING,select atleast one booking,selecione pelo menos uma reserva.
LBL_RETURN,Return,retorno
LBL_INSPPECTION_COST_DETAILS,Inspection Cost Details,detalhes do custo de inspeção.
LBL_CUSTOMER_DETAILS,Customer details,detalhes do cliente
LBL_SUPPLIER_DETAILS,Supplier details,detalhes do fornecedor.
LBL_FACTORY_DETAILS,Factory details,detalhes da fábrica.
LBL_CONTACT_DETAILS,Fullbridge Contact details,detalhes de contato da fullbridge
MSG_UNKNOWN,Unknown error has occured,um erro desconhecido ocorreu.
MSG_UNKNOWNSTATUS,Unknown status need to configure,"status desconhecido, precisa ser configurado."
LBL_REGISTER,Register,registrar
LBL_EDIT,Edit,editar
MSG_COUNTRYISEMPTY,Choose Country,escolher país
MSG_SERVICEISEMPTY,Choose Service,escolher serviço
MSG_NO_ITEM_FOUND,Booking Found,reserva encontrada
LBL_PRODUCT_IMAGE,Product Image,imagem do produto
LBL_NO,No,não.
LBL_SEND,Send,enviar
MSG_CANNOTGETCUSTLIST,Cannot get customer list,não é possível obter a lista de clientes.
MSG_CANNOTGETSUPPLIST,Cannot get supplier list,não é possível obter a lista de fornecedores.
MSG_CANNOTGETFACTLIST,Cannot get factory list,não consigo obter a lista de fábricas.
MSG_STATUSUPDATED,successfully updated,atualizado com sucesso
MSG_CANNOTUPDATESTATUS,Status not updated,status não atualizado.
MSG_NORIGHTSTOUPDATESTATUS,No Access to update the status,sem acesso para atualizar o status.
MSG_QUOTATIONNOTFOUND,Quotation not found,cotação não encontrada.
MSG_CURRENCYLISTNOTFOUND,Cannot get currency list,não é possível obter lista de moedas.
MSG_ADDRESS_REQ,Address is required,endereço é necessário.
LBL_FILENAME,File Name,nome do arquivo
LBL_VERSIONDATE,Sent date,data de envio
LBL_SENTHISTORY,Quotation History,histórico de citações
LBL_LAST_SENT,Last sent,última mensagem.
MSG_APPROVE,approve the quotation,aprovar o orçamento.
MSG_CANCEL,cancel the quotation,cancelar a cotação.
MSG_CONFIRM,validate the quotation,validar a cotação.
MSG_REJECT,reject the quotation,rejeitar a cotação.
MSG_SEND,send the quotation,envie o orçamento
MSG_SAVED_BRDERROR,Quotation saved but notification error,"cotação salva, mas erro na notificação."
MSG_MANDAY_BOOKING,Please give manday atleast for one booking,"por favor, dê ao menos um dia útil para uma reserva."
LBL_TOTAL,Total,total = total
LBL_REPORTS,Reports,relatórios
LBL_PRODUCTS,Products,produtos
LBL_NOOFPRODUCTS, No of Products,número de produtos
LBL_AQL,Sampling,amostragem
LBL_PRODUCTCATEGORY,Product Category,categoria de produto
LBL_PRODUCTCATEGORYSUB,Product Sub Category,categoria de subprodutos.
LBL_PRODUCTCATEGORYSUB2,Product Sub Category 2,categoria de subproduto 2
LBL_PICKING_QTY,Picking Qty,quantidade de coleta.
LBL_PICKING,Picking,colhendo
LBL_UNITPRICE,Unit Price,preço unitário
LBL_NO_MAN_DAY,No. Man day,"não há tradução exata para a expressão ""no. man day"" em português. talvez seja necessário mais contexto para fornecer uma tradução apropriada."
LBL_TOTAL_INSP_FEES,Insp. Fees,"insp. fees significa ""taxas de inspeção"" em português."
LBL_TRAVEL_AIR,Travel Air,aviação de viagem.
LBL_TRAVEL_LAND,Travel Land,terra de viagens.
LBL_HOTEL,Hotel,hotel -> hotel
LBL_BOOKTOTAL,Total Fees,total de taxas
LBL_BOOKING_DETAILS,Booking Details,detalhes da reserva
LBL_MORE_INFO,More booking info,mais informações de reserva.
LBL_DELETE,Delete,apagar
VIEW_PRODUCT_TITLE,Product Images ,imagens do produto
LBL_BOOKING_INFO,Booking Information ,informações de reserva
LBL_TOTAL_COMPO_BOOK_QTY,Total Book. Qty. ,total do livro. qtd.
LBL_PRODUCT_REAMRK,Product Remarks,observações do produto
LBL_PRODUCT_DESC,Product Comment,comentário do produto.
LBL_BOOKING_REMARKS,Booking Remarks,observações de reserva
LBL_QC_BOOKING_COMMENTS,QC Booking Comments,comentários de reserva da qc.
LBL_COMBINE,Combine,combinar
LBL_BOOKING,Booking,reserva.
MSG_UNIT_PRICE_REQ,Unit price required,preço unitário necessário
MSG_MAN_DAY_REQ,Man Day required,dia do homem necessário
MSG_INSP_FEES_REQ,Inspection Fees required,taxas de inspeção necessárias.
MSG_CON_NOT_CONFIG,please add factory country under customer,"por favor, adicione o país da fábrica sob o cliente."
LBL_REMARKS,Remarks,observações
LBL_MANDAY,Man Day,dia do homem.
LBL_SERVICEDATE,Service Date,data de serviço.
MSG_BOOK_MAN_DAY,Man day required,dia do homem necessário.
MSG_BOOK_MAN_Day_NOT_MATCH,Booking Man day and Total booking Service date Man day are not equal,o dia de reserva do homem do serviço de reserva e o dia total de serviço de reserva do homem não são iguais.
LBL_HISTORY,History,história
LBL_Booking,Booking,reservar
LBL_TOTAL_SERVICE_FEES,Service Fees,taxas de serviço.
LBL_GRAND_TOTAL,Grand Total,total geral
LBL_COST_DETAILS,Cost Details,detalhes de custo
LBL_SERVICE_DATE_CHANGE,ALERT !!!!!,alerta!!!!!
MSG_BOOKING,The booking ,a reserva.
MSG_SERVICE_DATE, service date has been changed from ,a data de serviço foi alterada de.
MSG_SERVICEDATETO, To ,"para a língua portuguesa, a tradução de ""to"" seria ""para""."
MSG_CONTACT_QUO_TEAM, Please contact quotation team.,"por favor, entre em contato com a equipe de cotação."
MSG_CONFIRM_BOOKING,Quotation can send only after booking confirmed.,a cotação só pode ser enviada depois da reserva confirmada.
LBL_API_INTERNAL_REMARK,Fullbridge Internal Remark,observação interna da ponte completa
LBL_PRODUCT_SAMPLE_QTY_NOT_EQUAL,Quotation & Booking total sample qty are not equal.,a quantidade total da amostra de cotação e reserva não são iguais.
MSG_SAVE_QUESTION,Are you sure to save the quotation?,você tem certeza de que deseja salvar o orçamento?
MSG_QUOTATION_EXISTS,Quotation already exists for booking #,cotação já existe para reserva #
MSG_CHECK,please check it.,"por favor, verifique isso."
MSG_BILLING_METHOD_SELECT,Please select billing method,por favor selecione o método de pagamento.
LBL_PRICE_CARD_INFO,Price Info,informação de preço
LBL_UNIT_PRICE_CHANGED,Unit Price Changed,preço unitário alterado.
LBL_OLDUNITPRICE,Old Unit Price,preço unitário antigo
LBL_NEWUNITPRICE,New Unit Price,novo preço unitário.
LBL_MORE_THAN_ONE_UNIT_PRICE_FOUND,More than one unit price found.,mais de um preço unitário encontrado.
LBL_CONTAINER_ID,Container ID,identificador do contêiner.
LBL_CONTAINER_NAME,Container Name,nome do container
LBL_CONTAINER_TOTAL_BOOKING_QTY,Total Booking Quantity,quantidade total de reservas.
LBL_CONTAINERS,Containers,recipientes
LBL_MORE_THAN_ONE_TRAVEL_MATRIX_FOUND,More than one travel matrix found.,mais de uma matriz de viagem encontrada.
MSG_NO_TRAVEL_MATRIX,No travel matrix configured,nenhuma matriz de viagem configurada.
MSG_PRICE_CARD_WRONG,Price Card not defined,cartão de preço não definido.
LBL_TRAVEL_MATRIX_INFO,Travel Info,informações de viagem.
MSG_BOOKING_HOLD,Booking status is hold.,o status de reserva está em espera.
MSG_BOOKING_CANCELLED,Booking status is cancelled.,o status da reserva foi cancelado.
LBL_NO_QUOTATION_COMMON_MATCH,"Billing Method,Billing PaidBy,Currency are common for the quotation.Please select the unique combination","método de faturamento, faturamento pago por, moedas são comuns para a cotação. por favor, selecione a combinação única."
LBL_BOOKING_DETAILS_LOADER,Booking Details Loading.Please wait...,"carregando detalhes da reserva. por favor, aguarde..."
LBL_PROCESSING_UNIT_PRICE,Processing Unit Price.Please wait...,"preço unitário do processamento. por favor, aguarde..."
MSG_QUOTATION_TOTALCOST,Total cost should be greater or equal to zero,o custo total deve ser maior ou igual a zero.
LBL_SKIP_SEND_TO_CLIENT,Skip SentToClient,pular enviadoparacliente
TITLE,Quotation Summary,resumo de cotação.
LBL_QUOTNP,Quotation No,número da cotação
LBL_BOOKINGNO,Inspection No,número da inspeção.
LBL_QUOTATIONDATE,Quotation date,data da cotação
LBL_SERVICEDATE,Service date,data do serviço.
LB_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica
LBL_STATUS,Status,estado.
LBL_OFFICE,Office,escritório
LBL_SERVICETYPE,Service type,tipo de serviço
LBL_MANDAY,Total Man Day,dia homem total
LBL_INSPECTIONCOST,Inspection Cost,custo de inspeção.
LBL_TRAVELCOST,Travel Cost,custo de viagem.
LBL_TOTALFEES,Total Fees,total de taxas.
LBL_ADVANCED_SEARCH,Advance Search,busca avançada
LBL_CLOSE_ADVANCED_SEARCH,Close Advance search,fechar pesquisa avançada.
LBL_EDIT,Edit,editar
LBL_EXPORT,Export,exportação
LBL_RESET,Reset,reiniciar
LBL_SEARCH_BTN,Search,buscar
LBL_PRODUCT,Product,produto
LBL_FACTORY_REFERENCE,Factory Reference,referência de fábrica
LBL_FACTORY_PRODUCT,Enter Factory Reference or Product ID,referência da fábrica ou id do produto.
MSG_NO_DATA,No Data,sem dados.
LBL_SELECT,Select,selecionar
LBL_CUSTOMER,Customer,cliente
MSG_NO_ITEM_FOUND,No Quotation Found,nenhuma citação encontrada.
LBL_SERVICE,Service,serviço
LBL_ADEO_QUOTATION,Adeo quotation,cotação adeo.
MSG_SERVICE_REQ,Service is required,serviço é requerido.
MSG_CUSTOMER_REQ,Customer is required,cliente é obrigatório.
MSG_CLEAR_SEARCH,Clear Search,limpar pesquisa.
LBL_VALIDATED_BY,Validated,validado.
LBL_API,Fullbridge,ponte completa.
LBL_CLIENT,By Client,pelo cliente.
LBL_BY,By,pela
LBL_INSP_NO_CUS_BOOKING_NO,Insp / Cus No,"insp / cus no significa ""número de inspiração/cliente""."
LBL_CUSTOMER_BOOKING_NO,Customer Booking No,número da reserva do cliente.
LBL_INSP_NO,Insp. No,"insp. no é a abreviação de ""inspetoria número"" em português."
LBL_VALIDATED_ON,Validated On,validado em
LBL_VALIDATED_BY_EXT,Validated By,validado por
LBL_BRAND,Brand,marca
LBL_DEPARTMENT,Department,departamento
LBL_BUYER,Buyer,comprador.
TITLE_CANCEL,Inspection Cancel,cancelamento da inspeção.
TITLE_RESCHEDULE,Inspection Reschedule,reagendar inspeção
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica
LBL_SERVICEDATE_FROM,Service Date From,data do serviço a partir de
LBL_SERVICEDATE_TO, Service Date To,data de serviço até
LBL_SERVICETYPE,Service Type,tipo de serviço
LBL_MAIN_DETAILS,Inspection Details,detalhes da inspeção
LBL_SAVE,Save,salvar
LBL_RESET,Reset,reiniciar.
LBL_RETURN,Return,retorno
LBL_REASON,Reason Type,tipo de motivo
LBL_SELECT,Select,selecionar
MSG_NO_DATA,No Data,sem dados.
LBL_COMMENT,Comment,comentário
LBL_API_COMMENT,Internal Comment,comentário interno
LBL_CANCEL_RESCHEDULE_TIME,Time,tempo
LBL_TRAVELLING_EXPENSE,Travelling Expense,despesa de viagem.
LBL_CURRENCY,Currency,moeda
LBL_EMAIL_TO_ACCOUNTING,Email Send to Account Department,envie e-mail para o departamento de contabilidade.
LBL_SERVICE_FROMDATE,Service From Date,data de início do serviço.
MSG_SERVICE_FROMDATE_REQ,From date is required,a data de início é obrigatória.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be greater than to date,a data de início deve ser maior do que a data de término.
LBL_Service_TODATE,To Date,"até o momento, até a presente data."
MSG_Service_TODATE_REQ,To date is required,até o momento é necessário.
MSG_Service_TODATE_LESS_REQ,To date not less than from date,até o momento não menos do que a partir da data.
MSG_REASON_TYPE,Reason type required,tipo de motivo necessário
MSG_SAVE_SUCCESS,Inspection cancelled successfully,inspeção cancelada com sucesso.
MSG_SAVE_SUCCESS_RESCHEDULE,Inspection rescheduled successfully,inspeção reagendada com sucesso.
MSG_NO_ITEM_FOUND,No Inspection Found,nenhuma inspeção encontrada.
MSG_NOT_SAVED,Inspection not Saved,inspeção não salva
MSG_REQUEST_NOT_CORRECT_FORMAT,Inspection request not correct format,pedido de inspeção não está no formato correto.
MSG_UNKNOWN_ERROR,Network error. Contact It-Team,erro de rede. contate a equipe de ti.
MSG_CURRENCY_REQ,Currency is required,a moeda é obrigatória.
LBL_INFORMATION,Information,informação
TITLE_SPLIT_BOOKING,Split Booking,reserva dividida.
LBL_SPLIT_BOOKING,Split Booking Comments,comentários da reserva dividida
BTN_CANCEL_PRODUCTS,Cancel Products,cancelar produtos
BTN_NEW_BOOKING,New Booking,nova reserva
MSG_CANCEL_PRODUCTS,Are you sure to cancel this products from booking ?,você tem certeza de que deseja cancelar estes produtos da reserva?
MSG_CREATE_PRODUCTS,Are you sure to create a new booking with selected products ?,tem certeza de que deseja criar uma nova reserva com os produtos selecionados?
MSG_PRODUCTS_REMOVE,Selected booking products removed successfully,produtos de reserva selecionados removidos com sucesso.
MSG_NEW_BOOKING,New booking created successfully,novo agendamento criado com sucesso.
MSG_CANCEL_PRODUCTS_FEW,"User can not “cancel” all products from booking, Please cancel the products","o usuário não pode ""cancelar"" todos os produtos da reserva, por favor, cancele os produtos."
MSG_CREATE_PRODUCTS_FEW,User can not select all products for “new booking” Please unselect atleast one product,"usuário não pode selecionar todos os produtos para ""nova reserva"". por favor, desmarque pelo menos um produto."
MSG_SELECT_ONE_PRODUCT,Please select any one products,"por favor, selecione algum produto."
MSG_INSPECTION_PICKING_DATA,you can not do this operation since the product has inspection picking data,"você não pode realizar esta operação, pois o produto possui dados de inspeção de picking."
MSG_INSPECTION_COMBINE_DATA,you can not do this operation since the product has combine order data,"você não pode realizar esta operação, pois o produto possui dados de pedido combinado."
MSG_INTERNAL_USER_QUOTATIONCANCEL,please cancel the quotation,"por favor, cancele o orçamento."
MSG_QUOTATION_CANCEL,Quotation could not be cancelled,a cotação não pôde ser cancelada.
MSG_EXTERNAL_USER_QUOTATIONCANCEL,Please contact Fullbridge-Team for cancel the booking,"por favor, entre em contato com a equipe fullbridge para cancelar a reserva."
LBL_NEW_BOOKING_SUCCESS_TITLE,New booking,nova reserva
LBL_NEW_BOOKING_SUCCESS_POPUP_INFO,Saved Successfully,salvo com sucesso.
LBL_EDIT_BOOKING,Edit Booking,editar reserva.
LBL_KEEP_ALLOCATED_QC,Keep Allocated QC,manter alocado qc
LBL_TO_DATE_GREATER_THAN_BOOKING_DATE,"Reschedule' To date should be greater than Inspection To Date. Since, You selected Keep QC",reagendar' data de reagendamento deve ser maior que a data de inspeção. desde que você selecionou manter qc?
MSG_QC_DELETED,QC Delete,apagar qc.
MSG_QC_REMOVE,The allocated QC will be removed from the booking for the dates: ,o qc alocado será removido da reserva para as datas:
LBL_FROM_DATE_BE_SAME_RESCHEDULE_FROM_DATE,Inspection From date has to be same as 'Reschedule' From date,a data de inspeção tem que ser a mesma que a data de 'remarcação'.
MSG_FirstService_TODATE_LESS_REQ,First Service To date should be less than Service To date,a primeira data de serviço até à data deve ser inferior à data de serviço até à data.
MSG_FirstService_FROMDATE_LESS_REQ,First Service From date should be less than Service From date,a data do primeiro serviço deve ser antes da data do serviço.
MSG_FirstService_LESS_REQ,First Service To date should be greater than First Service From date,a data do primeiro serviço até a data deve ser maior do que a data do primeiro serviço a partir da data.
MSG_REMOVE_MULTI_BOOKING_QUOTATION,Remove the booking from multi-booking quotation,remova a reserva da cotação de múltiplas reservas.
LBL_PRODUCT_DETAILS,Product Details,detalhes do produto.
TITLE,Inspection Picking,seleção para inspeção.
SUB_TITLE, Product Details,detalhes do produto.
LBL_PRODUCTID,Product ID,identificação do produto.
LBL_POID,PO ID,"por favor, forneça mais contexto para que eu possa fornecer a tradução correta para ""po id"" em português."
LBL_PICKINGQUANTITY,Picking Quantity,quantidade de picking.
LBL_LABNAME,Lab/Customer Name,nome do laboratório/cliente
LBL_LABADDRESS,Lab/Customer Address,endereço do laboratório/cliente
LBL_LABCONTACT,Lab/Customer Contact,contato laboratório/cliente
LBL_REMARKS,Remarks,observações
PH_SELECT,Select,selecionar
PH_PICKINGQUANTITY,Picking Quantity,quantidade de picking.
PH_REMARKS,Remarks,observações
LBL_ADD,ADD,adicionar
LBL_RETURN,RETURN,retorno
LBL_SAVE,SAVE,salvar
LBL_PREVIEW,Preview,pré-visualização
LBL_EXPORT,Export,exportar
LBL_NOLABFOUND,No Lab Found,sem laboratório encontrado.
LBL_NOLABADDRESSFOUND,No Lab Address Found,nenhum endereço identificado no laboratório.
LBL_NOCONTACTSFOUND,No Lab Contact Details Found,nenhum detalhe de contato de laboratório encontrado.
LBL_NOCUSTOMERCONTACTSFOUND,No Customer Contacts Found,nenhum contato de cliente encontrado.
LBL_SAVE_RESULT,Save result,salvar resultado
MSG_SAVE_SUCCESS,Inspection Pickings are successfully saved,as escolhas de inspeção são salvas com sucesso.
MSG_CANNOT_SAVE,Error : Combine Orders cannot be saved,erro: combinação de pedidos não pode ser salva.
MSG_UNKNONW_ERROR,Unknown error has occured,ocorreu um erro desconhecido.
MSG_INSPECTIONPICKINGNOT_SAVED,Inspection Picking not saved,inspeção de seleção não salva.
MSG_INSPECTIONPICKINGNOT_FOUND,Inspection Picking not found,inspeção de separação não encontrada.
MSG_PO_REQ,Po Number is required,número do pedido é obrigatório.
MSG_PRODUCT_REQ,Product is required,produto é obrigatório.
MSG_LAB_REQ,Lab is required,o laboratório é necessário.
MSG_LAB_ADDRESS_REQ,Lab Address is required,o endereço do laboratório é obrigatório.
MSG_LAB_CONTACT_REQ,Lab Contact is required,é necessário o contato com o laboratório.
MSG_LAB_PICKINGQTY_REQ,Picking Quantity is required,quantidade de seleção é necessária.
MSG_LAB_CONTACT_TYPE_REQ,Lab Contact Type is required,tipo de contato do laboratório é obrigatório.
MSG_VALIDATE_POPRODUCT_SELECTED,Selected po ,selecionado
MSG_VALIDATE_POPRODUCT_ANDPRODUCT, and product,e produto
MSG_VALIDATE_POPRODUCT_NOTMAPPED, are not mapped,não estão mapeados.
MSG_VALIDATE_PICKINGQTY_BASEQTY,Base Picking Quantity for the combination of the po ',quantidade de seleção de base para a combinação do pedido de compra.
MSG_VALIDATE_PICKINGQTY_PO, and product ',e produto
MSG_VALIDATE_PICKINGQTY_IS, is ,é
MSG_VALIDATE_PICKINGQTY_PLEASE_MAKESURE,.Please make the sum of all picking quantity for that combination equals to ,"por favor, faça a soma de todas as quantidades selecionadas para essa combinação ser igual a."
TITLE,County Details,detalhes do condado.
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_CITY,City Name,nome da cidade
LBL_ZONE,Zone,zona.
LBL_COUNTY,County Name,nome do condado
LBL_SELECT,Select,selecionar
LBL_PROVINCE,Province Name,nome da província
MSG_COUNTRY_NAME_REQ,Country is required,país é obrigatório.
MSG_ZONE_REQ,Zone is required,zona é obrigatória.
MSG_CITY_NAME_REQ,City is required,cidade é obrigatória.
MSG_PROVINCE_NAME_REQ,Province is required,província é obrigatória.
PH_COUNTY_NAME,Please enter County name,"por favor, insira o nome do condado."
MSG_REGION_NAME_REQ,County name is required,o nome do condado é obrigatório.
LBL_COUNTY_CODE,County Code,código do condado.
MSG_COUNTY_CODE,County code is required,o código do condado é obrigatório.
PH_COUNTY_CODE,Please enter County code,"por favor, insira o código do condado."
LBL_SAVE,Save,salvar
LBL_RESET,Reset,redefinir.
LBL_DETAILS,Main Details,principais detalhes
LBL_ADD,Add,adicionar
LBL_EDIT,Edit,editar
LBL_RETURN,Return,retorno
LBL_SUCCESS,success,sucesso
LBL_ERROR,Error,erro
MSG_SAVE_SUCCESS,County details saved successfully,detalhes do condado salvos com sucesso.
MSG_CANNOT_SAVE_COUNTY,Error : County cannot be saved,erro: condado não pode ser salvo.
MSG_CURRENT_COUNTY_NOTFOUND,Error : The current County is not found,o atual condado não foi encontrado.
MSG_CANNOTMAPREQUEST,Error: Cannot map request,erro: não é possível mapear a solicitação.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
MSG_LENGTH,Input exceeds character limit,a entrada excede o limite de caracteres.
MSG_COUNTY_EXISTS,Error : The County already Exists for the City,o condado já existe para a cidade.
TITLE,County Summary,resumo do condado.
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_REGION,City Name,nome da cidade
LBL_PROVINCE,Province Name,nome da província.
LBL_COUNTY,County Name,nome do condado
LBL_SELECT,Select,selecionar
LBL_ADD,New,nova
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo
LBL_REGION_CODE,County Code,código do condado.
LBL_No_ITEM,No data found,nenhum dado encontrado.
LBL_EDIT,Edit,editar
LBL_DELETE,Delete,excluir
LBL_CONFIRMDELETION,Are you sure ?,você tem certeza?
MSG_SHOWING,Showing,mostrando.
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
MSG_FIELDS_REQ,City or County is required,a cidade ou condado é obrigatório.
MSG_DELETE_SUCCESS,County deleted successfully,condado excluído com sucesso.
MSG_CONFRMDELETE,You are about to delete county ,você está prestes a excluir o condado.
TITLE,Town Summary,resumo da cidade
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_CITY,City Name,nome da cidade
LBL_PROVINCE,Province Name,nome da província
LBL_SELECT,Select,selecionar
LBL_COUNTY,County Name,nome do condado.
LBL_TOWN,Town Name,nome da cidade
LBL_TOWN_CODE,Town Code,código da cidade
LBL_No_ITEM,No data found,nenhum dado encontrado.
LBL_EDIT,Edit,editar
LBL_ADD,New,nova
LBL_DELETE,Delete,apagar
LBL_CONFIRMDELETION,Are you sure ?,você tem certeza?
MSG_RECORDS,records,registros
MSG_CITY_REQ,City or Town is required,a cidade ou vila é obrigatória.
MSG_SHOWING,Showing,mostrando
MSG_TO,to,para
MSG_OF,of,da
MSG_DELETE_SUCCESS,Town deleted successfully,cidade excluída com sucesso.
MSG_CONFRMDELETE,You are about to delete town ,você está prestes a excluir a cidade.
TITLE,Town Details,detalhes da cidade
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_CITY,City Name,o nome da cidade.
LBL_PROVINCE,Province Name,nome da província.
LBL_SELECT,Select,selecionar.
LBL_COUNTY,County Name,nome do condado.
LBL_TOWN,Town Name,nome da cidade
LBL_TOWN_CODE,Town Code,código da cidade
LBL_SAVE,Save,salvar
LBL_RESET,Reset,reiniciar
LBL_DETAILS,Main Details,detalhes principais
LBL_ADD,Add,adicionar
LBL_EDIT,Edit,editar
LBL_RETURN,Return,retorno.
LBL_SUCCESS,success,sucesso
LBL_ERROR,Error,erro
MSG_TOWN_NAME,Please enter Town name,"por favor, insira o nome da cidade."
MSG_TOWN_CODE,Please enter Town Code,"por favor, insira o código da cidade."
MSG_SAVE_SUCCESS,Town details saved successfully,detalhes da cidade salvos com sucesso.
MSG_CANNOT_SAVE_TOWN,Error : Town cannot be saved,erro: a cidade não pode ser salva.
MSG_CURRENT_TOWN_NOTFOUND,Error : The current Town is not found,erro: a cidade atual não foi encontrada.
MSG_CANNOTMAPREQUEST,Error: Cannot map request,erro: não é possível mapear a solicitação.
MSG_COUNTY_NAME_REQ,County name is required,o nome do condado é obrigatório.
MSG_TOWN_NAME_REQ,Town name is required,o nome da cidade é obrigatório.
MSG_LENGTH,Input exceeds character limit,entrada excede limite de caracteres.
MSG_UNKNONW_ERROR,Unknow error has occured,o erro ocorrido é desconhecido.
TITLE,Customer Check Points,pontos de verificação do cliente.
LBL_CUSTOMER,Customer Name,nome do cliente
LBL_SERVICE,Service,serviço
MSG_CONFRMDELETE,you are about to delete the check point!,você está prestes a excluir o ponto de verificação!
LBL_CHECKPOINT,Check Point,ponto de verificação.
LBL_REMARKS,Remarks,observações
MSG_CUSTOMER_REQ,Customer is required,o cliente é necessário.
MSG_SERVICE_REQ,Service is required,serviço é necessário.
MSG_CHECKPOINT_REQ,Check Point is required,verifique o ponto é necessário.
MSG_CANNOT_SAVE,Error : Customer Check Points cannot be saved,erro: pontos de verificação do cliente não podem ser salvos.
MSG_CANNOT_DELETE,"Error: Cannot Delete, please contact IT-Team","erro: não é possível excluir, por favor, entre em contato com a equipe de ti."
MSG_SAVE_SUCCESS,Customer Check Point is successfully saved,ponto de verificação do cliente foi salvo com sucesso.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
MSG_EXISTS_RECORD,Customer Check Points already exists,pontos de verificação do cliente já existem.
LBL_CONFIRMDELETION,Are you sure ?,você tem certeza?
TITLE,Schedule Details,detalhes da programação.
TITLE_CONFIRM,Confirm Booking,confirmar reserva.
LBL_SEARCH,Search,pesquisar
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica
LBL_STATUS,Inspection Status,status de inspeção
LBL_OFFICE,Branch,filial
LBL_SEARCHDATE_FROM,From,da.
LBL_SEARCHDATE_TO,To,para.
LBL_SELECT,Select,selecionar
LBL_ZONE,Zone,zona.
MSG_NO_DATA,No Data,sem dados.
LBL_DATETYPE,Date Type,tipo de dados de data
LBL_SEARCHTYPE,Search Type,tipo de busca
LBL_SEARCH_TYPE_DESC,Inspection No/Report No/Po Number,número de inspeção/número de relatório/número do pedido
LBL_SEARCH_BTN,Search,buscar.
LBL_RESET,Reset,redefinir.
MSG_SERVICE_FROMDATE_REQ,From date is required,a data de início é requerida.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be greater than to date,a data inicial deve ser maior do que a data final.
MSG_Service_TODATE_REQ,To date is required,até a data é necessária.
MSG_Service_TODATE_LESS_REQ,To date not less than from date,"""até a data de hoje, pelo menos a partir da data."""
MSG_BOOKINGNO_ERROR,Inspection Number should be valid,o número de inspeção deve ser válido.
MSG_BOOKING_CONFIRM,Are you sure to confirm this booking ?,você tem certeza de confirmar esta reserva?
LBL_PONO,Po No,"desculpe, não consigo fornecer a tradução para ""po no"". se precisar de ajuda com alguma outra coisa, por favor me avise."
LBL_BOOKINGNO,Inspection No,número de inspeção.
LBL_MANDAY_FORECAST,Man Day Forecast,previsão do tempo para homens.
LBL_INSPNO,Insp No,número de inspeção
LBL_REPORTNO,Report No,número do relatório
LBL_SERVICEDATE, Service Date,data de serviço
LBL_SERVICETYPE,ServiceType,tipo de serviço
